tu_id	speaker	start	end	duration	text
279	PKP011	702.900	703.640	0.740	 [cucciola] {ride}
280	PKP031	705.185	707.275	2.090	 ma va' i:n mosca va'
281	PKP038	709.305	710.525	1.220	 non c'erano [(questi qua) allora?]
282	PKP031	709.915	711.645	1.730	 [EH ma no] ma è una carta vabbè
283	PKP012	711.730	712.690	0.960	 e come?
284	PKP031	712.725	714.345	1.620	 faccio così {P} [guarda] (guarda)
285	PKP012	713.690	713.940	0.250	 [TO']
286	PKP011	716.790	718.050	1.260	 che disastro.
287	PKP038	718.775	720.035	1.260	 ara che è sporca
288	PKP031	720.670	722.040	1.370	 vabbè >di di< di crema
289	PKP038	729.990	733.210	3.220	 °hanno sempre gli stessi modi di tenere le dita le [mani°]
290	PKP012	732.965	735.945	2.980	 [sì:] hanno:: come se fossero [spastici]
291	PKP038	735.375	738.245	2.870	 [°e e lo] sguardo {P} lo sguardo è ug~ è [sempre uguale°]
292	PKP012	737.275	738.205	0.930	 [<assente>]
293	PKP038	738.825	741.535	2.710	 °xx tipo: verso l'orizzonte proprio°
294	PKP012	742.705	743.375	0.670	 ascol~
295	PKP038	744.590	749.030	4.440	 sapete che è uscito: [{P}] è uscito il nuovo libro di xx
296	PKP011	745.805	746.935	1.130	 [no che paura,]
297	PKP038	749.930	751.190	1.260	 sempre su::
298	PKP031	751.270	753.720	2.450	 ov~ guarda che io seguo le tue stories [no]
299	PKP038	753.310	753.740	0.430	 [bravo]
300	PKP012	754.090	754.690	0.600	 {ride}
301	PKP038	757.985	761.865	3.880	 mi contattano addirittura da tiktok le ragazze per chiedermi del test
302	PKP011	762.230	763.020	0.790	 [davvero?]
303	PKP031	762.240	763.010	0.770	 [davvero?]
304	PKP038	766.270	774.470	8.200	 due che mi hanno chiesto la stessa identica cosa {P} solo che avevo tiktok collegato a lindymakeup? {P} e allora le ho mandate nell'altra pagina
305	PKP011	775.450	776.470	1.020	 {ride}
306	PKP031	776.525	778.745	2.220	 vabbé si son fatte una cultura di:
307	PKP031	782.270	783.950	1.680	 hai visto il video della silvy?
308	PKP038	784.155	784.535	0.380	 no
309	PKP031	784.910	786.760	1.850	 quello del~ della laurea.
310	PKP011	793.860	794.830	0.970	 <carino> dai
311	PKP031	796.850	798.450	1.600	 mah (>secondo me<) è anche bravina
312	PKP011	798.705	799.745	1.040	 (eravamo) tutti carini
313	PKP038	800.320	800.980	0.660	 ma cosa?
314	PKP011	801.695	802.725	1.030	 un video che >ha postato< [la bonny]
315	PKP031	802.475	807.105	4.630	 [la silvy] ha fatto dov~ do~ >quand'è che ha fatto< la festa di laurea [due: mesi fa?] {P} eh
316	PKP011	805.305	806.365	1.060	 [il cinque settembre]
317	PKP038	807.120	807.720	0.600	 °non l'ho visto°
318	PKP031	807.745	808.525	0.780	 è uscito il video
319	PKP011	808.530	809.320	0.790	 (sul) suo profilo
320	PKP038	810.940	814.970	4.030	 ah ieri sera che: il vicino è cascato non lo so:
321	PKP012	815.490	816.190	0.700	 E[H::?]
322	PKP038	816.205	818.425	2.220	 [ma] di solito si ubriaca sempre alla grot[ta]
323	PKP011	818.120	818.420	0.300	 [chi?]
324	PKP012	818.445	819.025	0.580	 Ma chi:?
325	PKP038	819.360	827.760	8.400	 >il mio< vicino di casa {P} [è] arrivata l'ambulanza solo che {P} eh sono un po' particolari sono quelli che sono dopo daniele non so se [hai presente,]
326	PKP011	820.475	820.935	0.460	 [oh gesù]
327	PKP012	827.540	829.890	2.350	 [ah] okay si la casa di là okay
328	PKP038	830.270	841.290	11.020	 che: la tizia tipo: è la sua compagna °moldava (>rumena<)° [non mi] ricordo {P} ma è sempre piena o si drogava una volta o si ubriacava si ubriacava anche lei non so comunque °dorme sempre°
329	PKP031	833.865	834.375	0.510	 [umh]
330	PKP031	841.835	842.765	0.930	 [dorme sempre,]
